Date,V,MA,spread,anchor,anchor_var,residual,signal_vol,zscore,position,gross_return,transaction_cost,net_return,equity,turnover
2016-05-31,74.2672,92.2764,8.003203244380998,6.886621809851345,0.881229244637041,1.1165814345296532,0.7803131850943338,1.4309401095082959,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-06-01,74.532,92.7669,7.970227857495388,6.920350921857725,0.881229244637041,1.0498769356376627,0.7636470709616595,1.3748195672584123,0.0,-0.0,0.0,-0.0,1.2291196148201444,0.0
2016-06-02,75.2181,93.2185,8.382168092525902,6.965852509071563,0.881229244637041,1.416315583454339,0.7759317443336969,1.825309498930925,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-06-03,75.2093,92.401,8.869660404001905,7.025111821869189,0.881229244637041,1.8445485821327168,0.8282439210374403,2.2270596080225684,-1.0,0.0,0.001,-0.001,1.2278904952053242,1.0
2016-06-06,75.7722,92.9882,9.076079859293998,7.088951748571528,0.881229244637041,1.9871281107224696,0.8759773689676128,2.2684696901067305,-1.0,-0.001572065707539452,0.0,-0.001572065707539452,1.2259601706651984,0.0
2016-06-07,75.828,93.0271,9.108264237377895,7.151806341584289,0.881229244637041,1.9564578957936059,0.8988951024073532,2.1765141344679346,-1.0,-0.00024340803014911584,0.0,-0.00024340803014911584,1.2256617621150154,0.0
2016-06-08,76.8154,94.2881,9.330129552642433,7.219610418288754,0.881229244637041,2.1105191343536784,0.9244722389947292,2.282944847158046,-1.0,-0.0016769434915794045,0.0,-0.0016769434915794045,1.223606396600159,0.0
2016-06-09,76.4503,93.3551,9.531440227391201,7.291570118717189,0.881229244637041,2.239870108674012,0.9490645477060143,2.3600819502614505,-1.0,-0.0015016872155067856,0.0,-0.0015016872155067856,1.221768922517572,0.0
2016-06-10,75.432,91.6116,9.571593615841849,7.362539792685785,0.881229244637041,2.2090538231560632,0.9557073127135506,2.311433420849184,-1.0,-0.0003016221099117763,0.0,-0.0003016221099117763,1.2214004099973377,0.0
2016-06-13,73.7591,90.6327,8.492969510280815,7.397726372386962,0.881229244637041,1.0952431378938536,0.9105211727050934,1.2028749805344607,-1.0,0.00823075189812396,0.0,0.00823075189812396,1.2314534537402926,0.0
2016-06-14,73.9213,90.5539,8.703007839509326,7.438355515146125,0.881229244637041,1.2646523243632002,0.8660893265226596,1.46018694104079,-1.0,-0.0016309743745072983,0.0,-0.0016309743745072983,1.2294449847138436,0.0
2016-06-15,73.5411,89.8122,8.773083077945714,7.479901218551483,0.881229244637041,1.293181859394231,0.8239105607907078,1.5695658253890605,-1.0,-0.0005436603621206577,0.0,-0.0005436603621206577,1.2287765842082468,0.0
2016-06-16,73.7103,90.524,8.510159692858721,7.511969795089039,0.881229244637041,0.9981898977696826,0.7875185024925745,1.2675129468200583,-1.0,0.0020530499899453175,0.0,0.0020530499899453175,1.2312993239621006,0.0
