process_var_multiplier,entry_z,exit_z,vol_span,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,active_day_ratio
5e-05,1.5,0.0,60,0.016660916893829425,0.05772848189107287,0.31502896412961856,-0.11245299071823611,0.15094360800906848,27.0,0.7397388059701493
5e-05,1.5,0.25,10,0.019147111779335813,0.06023474915803643,0.3449342872856713,-0.11263588759474952,0.17511084785234154,48.5,0.8465485074626866
5e-05,1.5,0.25,20,0.01920301691756765,0.058532682071206946,0.35417991536958326,-0.11263588759474974,0.17565938665729885,44.5,0.8041044776119403
5e-05,1.5,0.25,40,0.01874339299499561,0.058108533629837755,0.34856848655678857,-0.112452990718234,0.17115627663478894,34.0,0.7546641791044776
5e-05,1.5,0.25,60,0.012212241717435735,0.05684659381650554,0.24188208502710304,-0.11245299071823545,0.10879258675044068,29.0,0.7238805970149254
5e-05,1.5,0.5,10,0.015993861129823594,0.05969860653830472,0.29558453997021544,-0.11263588759474852,0.14453454108753272,51.5,0.8414179104477612
5e-05,1.5,0.5,20,0.018654877903897527,0.05813113191648971,0.3469683313854801,-0.11263588759474863,0.1702908107446337,47.5,0.7966417910447762
5e-05,1.5,0.5,40,0.016992064512787897,0.05641782911201688,0.3267981043997081,-0.11245299071823567,0.15413701944344083,39.0,0.7285447761194029
5e-05,1.5,0.5,60,0.00791365197331273,0.05532849326025638,0.1700616929618285,-0.11245299071823545,0.06936374120132127,32.0,0.6907649253731343
5e-05,1.5,0.75,10,0.016777976936008354,0.05913046100073318,0.31090042719877276,-0.11263588759474785,0.15207158063030746,59.5,0.8330223880597015
5e-05,1.5,0.75,20,0.01591724242480419,0.05680590954479808,0.306342025399759,-0.11263588759474852,0.143800409479226,56.5,0.777518656716418
5e-05,1.5,0.75,40,0.014634654540163883,0.05450039950613189,0.29376260889253275,-0.11245299071823567,0.13157268133841948,46.0,0.6958955223880597
5e-05,1.5,0.75,60,0.008250070704060697,0.054281586035479126,0.17843399326547407,-0.11245299071823533,0.07240428143446831,41.0,0.6534514925373134
5e-05,1.75,0.0,10,0.01767283074573678,0.059488404552840185,0.3241720702424719,-0.11263588759474785,0.16072653662774172,36.5,0.8129664179104478
5e-05,1.75,0.0,20,0.01749862216699083,0.05825984601112096,0.32683284365642973,-0.1126358875947493,0.15903712126042846,31.0,0.7593283582089553
5e-05,1.75,0.0,40,0.017326441888691813,0.05686461748897984,0.33045478983733406,-0.11245299071823511,0.15736950818207562,26.0,0.6949626865671642
5e-05,1.75,0.0,60,0.014367227565068585,0.0561604790747107,0.2820157850660237,-0.10973346270903195,0.12903771297904387,22.0,0.6441231343283582
5e-05,1.75,0.25,10,0.017845362344216964,0.05887185771119141,0.3298271298363013,-0.11263588759474952,0.1624018306218311,41.5,0.8003731343283582
5e-05,1.75,0.25,20,0.01452215261901868,0.05731871906975867,0.28013900227396776,-0.11263588759474807,0.13050565244883217,34.0,0.7434701492537313
5e-05,1.75,0.25,40,0.014376409276021018,0.05589388148462115,0.28325808683964054,-0.112452990718235,0.12912466423379976,28.0,0.6772388059701493
5e-05,1.75,0.25,60,0.010814474784084593,0.055334807662180574,0.2219856338775713,-0.10973346270903361,0.0958331144694946,24.0,0.6343283582089553
5e-05,1.75,0.5,10,0.014012082820536786,0.058375279550804876,0.267495673718723,-0.1126358875947494,0.12567900590582215,42.5,0.7957089552238806
5e-05,1.75,0.5,20,0.012997768042047664,0.057136688958732175,0.25453085974878054,-0.11263588759474896,0.11613483751458897,35.0,0.7392723880597015
5e-05,1.75,0.5,40,0.009665665284419367,0.05474741891632326,0.20300726928201956,-0.11245299071823511,0.08528213094340864,29.0,0.6487873134328358
5e-05,1.75,0.5,60,0.007869414881070513,0.05380663905287768,0.17251399786447447,-0.10973346270903317,0.06896449445478092,27.0,0.6026119402985075
5e-05,1.75,0.75,10,0.013289310211347383,0.058188141066376806,0.2559143065559104,-0.1126358875947494,0.11887075532472213,46.5,0.7924440298507462
5e-05,1.75,0.75,20,0.013001110356583467,0.05602915558714885,0.25849901398474046,-0.11263588759474852,0.11616616929776535,42.0,0.7271455223880597
5e-05,1.75,0.75,40,0.008004555377134848,0.05325133004386817,0.1762742722849469,-0.11245299071823511,0.07018457183299587,33.0,0.6315298507462687
